Type1,Item,Description,ClientStockCode,ClientStockDescription,Lot,OnHand,Warehouse,Allocated,Pending,Available,Units
Finished Goods,742261,FV 20 CHR EP CA 750ml/12p,,Eva 20 CHR 12pk CA,W33265,13.67,Marlborough,0.00,0.00,13.67,Cases
Finished Goods,748959,FV 21 SAB EP UC 750ml/12p,737897,FV 21 SAB EP USA 750ml/12p,W37948,156.00,Marlborough,0.00,0.00,156.00,Cases
Finished Goods,766163,FV 22 CHR EP AN 750ml/6p,,EPCH22NZ,W39189,320.83,Marlborough,0.00,0.00,320.83,Cases
Finished Goods,747691,FV 22 CHR EP NZ 750ml/12p,,Eva 22 CHR 12pk,W39189,48.58,Marlborough,0.00,0.00,48.58,Cases
Finished Goods,747690,FV 22 CHR EP NZ 750ml/6p,,Eva 22 CHR 6pk,W39189,26.67,Marlborough,0.00,0.00,26.67,Cases
Finished Goods,769496,FV 22 CHR EP UK 750ml/6p,,EP WL Chard 22 - UK,W39189,111.33,Marlborough,0.00,0.00,111.33,Cases
Finished Goods,747609,FV 22 PIN EP NZ 750ml/12p,,Eva 22 PN 12pk,W39190,10.17,Marlborough,0.00,0.00,10.17,Cases
Finished Goods,747611,FV 22 PIN EP NZ 750ml/6p,,Eva 22 PN 6pk,W39190,12.00,Marlborough,0.00,0.00,12.00,Cases
Finished Goods,768013,FV 22 PIN EP US 750ml/12p,EP PN US 12 22 TTB,Celeste PN 22 USA,W39190,10.00,Marlborough,0.00,0.00,10.00,Cases
Finished Goods,770024,FV 22 RDB EP UK 750ml/6p Legacy Red,EP WL LR 22 - UK,EP WL LR 22 - UK,L51676-R51676,143.67,Marlborough,0.00,0.00,143.67,Cases
Finished Goods,765909,FV 22 SAB EP NZ 750ml/12p,,2022 SB NZ,W39186,86.33,Marlborough,0.00,0.00,86.33,Cases
Finished Goods,753031,FV 22 SAB EP NZ 750ml/6p,,Eva 22 SB 6pk,22EPSB-W39188,24.00,Marlborough,0.00,0.00,24.00,Cases
Finished Goods,742822,FV 22 SAB EP US 750ml/12p,,Eva 22 SB 12pk,W39186,99.25,Marlborough,0.00,0.00,99.25,Cases
Finished Goods,768616,FV 22 SAB EP US 750ml/12p,US Reconfig,EP 22 SB USA 12 Pallet R,W39186,395.00,Marlborough,0.00,0.00,395.00,Cases
Finished Goods,747253,FV 22 SAB EP X+ 750ml/12p,,Eva 22 SB 12pk,22EPSB-W39188,68.67,Marlborough,0.00,0.00,68.67,Cases
Finished Goods,766286,FV 23 PIN EP NZ 750ml/6p,,EPRPN23NZ6,23EPPN-W43531,288.83,Marlborough,3.17,0.00,285.67,Cases
Finished Goods,756598,FV 23 PIN EP X+ 750ml/12p,,23 EP PN - Cleanskin,23EPPN-W43531,122.42,Marlborough,0.00,0.00,122.42,Cases
Finished Goods,770089,FV 24 PIG EP UK 750ml/6p,EPWLPG24 (UK),EPWLPG24-UK,24CDPG-W52446,159.67,Marlborough,0.00,0.00,159.67,Cases
Finished Goods,770018,FV 24 PIN EP UK 750ml/6p,EP WL PN 24 (UK),EP WL PN 24 (UK),24EPPN-W48871,86.00,Marlborough,0.00,0.00,86.00,Cases
